,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Cluster
0,1,0,1,0,0.0,0,0,0,1,0,0,0,0,1,0.115422886,0.001275098,0,1,0,0,1,0,0,0,0,1,0,3
1,0,0,0,0,0.464788732,1,0,1,0,1,0,0,0,0,0.385074627,0.215866605,0,1,0,0,0,1,0,0,0,0,1,3
2,0,0,0,0,0.014084507,1,0,1,1,0,0,0,0,1,0.354228856,0.010310408,1,1,0,0,1,0,0,0,0,0,1,3
3,0,0,0,0,0.61971831,0,0,1,0,1,1,0,0,0,0.239303483,0.210241172,0,1,0,0,0,1,0,1,0,0,0,3
4,1,0,0,0,0.014084507,1,0,0,0,0,0,0,0,1,0.521890547,0.015330025,1,0,1,0,1,0,0,0,0,1,0,0
5,1,0,0,0,0.098591549,1,1,0,0,1,0,1,1,1,0.809950249,0.092510962,1,0,1,0,1,0,0,0,0,1,0,0
6,0,0,0,1,0.295774648,1,1,0,1,0,0,1,0,1,0.704975124,0.222778675,0,0,1,0,1,0,0,0,1,0,0,0
7,1,0,0,0,0.126760563,0,0,1,0,0,0,0,0,0,0.114427861,0.032667898,0,1,0,0,1,0,0,0,0,0,1,3
8,1,0,1,0,0.38028169,1,1,0,0,1,1,1,1,1,0.86119403,0.349324948,1,0,1,0,1,0,0,0,0,1,0,0
9,0,0,0,1,0.85915493,1,0,1,1,0,0,0,0,0,0.377114428,0.400317332,0,1,0,0,0,1,0,1,0,0,0,3
10,0,0,1,1,0.169014085,1,0,1,0,0,0,0,0,1,0.315422886,0.065618509,0,1,0,0,1,0,0,0,0,0,1,3
11,0,0,0,0,0.211267606,1,0,0,0,0,0,0,0,0,0.006965174,0.035541195,0,0,0,1,0,0,1,0,1,0,0,1
12,0,0,1,0,0.802816901,1,1,0,0,1,0,1,1,0,0.816915423,0.653392569,0,0,1,0,0,1,0,0,1,0,0,2
13,0,0,0,0,0.676056338,1,1,0,1,1,0,1,1,1,0.850248756,0.578986845,1,0,1,0,1,0,0,1,0,0,0,0
14,0,0,0,0,0.338028169,1,0,1,0,1,1,1,1,1,0.868159204,0.307783291,0,0,1,0,1,0,0,0,0,1,0,0
15,1,0,1,1,0.957746479,1,1,1,1,1,1,1,1,0,0.945273632,0.908879529,0,0,1,0,0,0,1,0,1,0,0,2
16,1,0,0,0,0.718309859,1,0,0,0,0,0,0,0,0,0.023880597,0.115872375,0,0,0,1,0,1,0,0,0,0,1,1
17,0,0,0,1,0.985915493,1,1,1,0,1,0,1,1,0,0.880099502,0.849694207,0,0,1,0,0,0,1,1,0,0,0,2
18,1,0,1,1,0.126760563,1,0,0,0,1,1,0,0,0,0.367661692,0.058798754,1,1,0,0,1,0,0,0,1,0,0,3
19,1,0,0,0,0.281690141,1,0,0,1,1,0,0,1,1,0.714427861,0.212797138,0,0,1,0,1,0,0,0,0,1,0,0
20,0,1,0,0,0.0,0,0,0,0,1,0,0,1,1,0.212935323,0.002405954,1,1,0,0,1,0,0,0,0,1,0,3
21,0,0,1,0,0.154929577,1,0,0,0,0,0,0,0,0,0.015422886,0.021168936,0,0,0,1,0,1,0,1,0,0,0,1
22,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.018905473,0.000155781,1,0,0,1,1,0,0,0,0,0,1,1
23,1,0,1,0,0.802816901,1,1,0,1,0,1,0,0,1,0.414427861,0.40229633,0,1,0,0,0,0,1,0,1,0,0,2
24,0,0,1,1,0.676056338,1,0,1,1,0,1,0,0,0,0.411442786,0.340583891,0,1,0,0,1,0,0,0,1,0,0,3
25,1,0,0,0,0.408450704,1,0,1,1,0,0,0,0,1,0.368656716,0.174451881,0,1,0,0,1,0,0,1,0,0,0,3
26,0,0,1,1,0.647887324,1,1,0,1,0,0,1,1,1,0.806965174,0.545851604,1,0,1,0,1,0,0,0,0,1,0,0
27,0,0,1,1,0.0,0,0,0,1,0,0,0,0,0,0.118905473,0.001315486,1,1,0,0,1,0,0,0,0,1,0,3
28,0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.71641791,0.732823679,0,1,0,0,0,0,1,0,1,0,0,2
